,title,rating,genres,votes,synopsis,mainLead1,mainLead2,startYear,endYear,writer,director,id,image_url
0,"Genie, Make a Wish",6.4,"Comedy,Fantasy,Romance",7700,"Jinn, a genie who awakens after a thousand years, and Ka-young, his new impassive master.",Kim Woo-bin,Bae Suzy,2025-01-01,2025-01-01,['Kim Eun-sook'],['Lee Byeong-heon'],tt32409807,https://m.media-amazon.com/images/M/MV5BOWM4MjQ1M2EtODY4OS00NGQwLTgxYWYtOTA2ODM3MGU0MTgzXkEyXkFqcGc@
1,Squid Game,8.0,"Action,Drama,Mystery",723000,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. A tempting prize awaits, but with deadly high stakes.",Lee Jung-jae,Greg Chun,2021-01-01,2021-01-01,['Hwang Dong-hyuk'],['Hwang Dong-hyuk'],tt10919420,https://m.media-amazon.com/images/M/MV5BYTU3ZDVhNmMtMDVlNC00MDc0LTgwNDMtYWE5MTI2ZGI4YWIwXkEyXkFqcGc@
2,When Life Gives You Tangerines,9.1,"Drama,History,Romance",29000,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs, proving love endures across time.",IU,IU,2025-01-01,2025-01-01,"['Im Sang-choon', 'Lim Sang-Chung', 'Kim Won-seok']",['Kim Won-seok'],tt26471411,https://m.media-amazon.com/images/M/MV5BZTBhZTcwNWUtOTZjMi00ZjI2LWEzMzMtNWJkMWQ2ZDA0NTU3XkEyXkFqcGc@
3,Typhoon Family,8.1,Drama,296,"CEO Kang Tae Pung runs Typhoon Company, his family business. His father cherished it like family. Since inheriting it after his father's death, he's fought to save it, especially during the 1997 IMF crisis.",Lee Jun-ho,Minha Kim,2025-01-01,2025-01-01,['\\N'],['Lee Na-jeong'],tt36856846,https://m.media-amazon.com/images/M/MV5BYzhkZTI0MzctYzZkYS00YzU5LTlhZTEtOWE1NmIyZTAwZGU5XkEyXkFqcGc@
5,All of Us Are Dead,7.6,"Action,Drama,Fantasy",85000,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,Park Ji-hu,Yoon Chan-young,2022-01-01,2022-01-01,"['Seong-il Cheon', 'Joo Dong-Geun']","['J.Q. Lee', 'Kim Nam-Soo']",tt14169960,https://m.media-amazon.com/images/M/MV5BZDY4ZmZhNzMtNjdkMC00NTE3LWFjYzQtOGE4OTllOGY1NTk5XkEyXkFqcGc@
6,Tempest,6.7,"Action,Drama",9600,"Munju, an ex-ambassador, and Sanho, a secret agent, investigate an attack that could destabilize the Korean peninsula, unraveling a dangerous conspiracy that jeopardizes regional peace and security.",Christopher Gorham,Brooke Smith,2025-01-01,2025-01-01,"['Park Chan-wook', 'Chung Seo-kyung']","['Kim Hee-won', 'Heewon Kim', 'Heo Myung-Haeng']",tt27368147,https://m.media-amazon.com/images/M/MV5BNGFmYTNkNmUtZmQzMi00ZjkxLWI0NDgtY2ZmZDJiMmEyMDc1XkEyXkFqcGc@
7,Alchemy of Souls,8.7,"Action,Drama,Fantasy",26000,"Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.",Lee Jae-wook,Hwang Min-hyun,2022-01-01,2022-01-01,"['Hong Jeong-eun', 'Hong Mi-ran']",['Park Joon-hwa'],tt20859920,https://m.media-amazon.com/images/M/MV5BOGFhNGQzMWUtZWJhNi00NGZiLTg1MjEtMTQzZmU4Njg2MWRhXkEyXkFqcGc@
10,Pachinko,8.4,Drama,17000,"Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.",Lee Min-ho,Jin Ha,2022-01-01,2022-01-01,"['Soo Hugh', 'Min Jin Lee', 'E.J. Koh', 'Franklin jin Rho', 'Mfoniso Udofia', 'Lauren Yee', 'Karen Chee', 'Haruna Lee', 'Ethan Kuperberg', 'Chang-rae Lee', 'Melissa Park', 'Hansol Jung', 'Matthew J. McCue', 'David Mitchell', 'Christina Yoon']","['Justin Chon', 'Kogonada', 'Arvin Chen', 'Sang-il Lee', 'Leanne Welham']",tt8888462,https://m.media-amazon.com/images/M/MV5BN2QwMTgyZTAtOTM4MS00OGRhLWIzNjQtZmQ3Yzc5NmNiYzhlXkEyXkFqcGc@
11,Trigger,7.2,"Action,Crime,Thriller",4200,"About two men who are trying to solve a mess after firearms are suddenly widely available in South Korea, which used to be a gun-free country, through an unknown source.",Kim Nam-gil,Kim Young-kwang,2025-01-01,2025-01-01,['Oh-Seung Kwon'],['Oh-Seung Kwon'],tt27898511,https://m.media-amazon.com/images/M/MV5BMTM3MWRiYWMtZmVkMi00OWE0LWI1M2ItMzE2ODc3YWM3YTU4XkEyXkFqcGc@
13,The Glory,8.2,"Drama,Mystery,Thriller",40000,A woman lives for absolute revenge against her childhood bullies who destroyed her life.,Song Hye-kyo,Lee Do-hyun,2022-01-01,2022-01-01,['Kim Eun-sook'],['Ahn Gil-ho'],tt21344706,https://m.media-amazon.com/images/M/MV5BODM0ZTc5YTAtZmMxNi00YzJkLWEzODItZDczZTRlNTc1NGE3XkEyXkFqcGc@
