title,rating,year_watched,notes
Twinkling watermelon ,9,,
Soundtrack #1 ,9,,
Alchemy of Souls,9.5,,
Flower of Evil,8,,
Moving ,9,,
The Glory,10,,
The Glory Part 2,9.5,,
Extraordinary Attorney Woo,9,,
Signal,9,,
Taxi driver ,8.5,,
Deaths game,9,,
The uncanny counter ,9,,
A shop for killers ,9,,
Hometown Cha-Cha-Cha,8.5,,
While You Were Sleeping,8,,
Queen of tears,10,,
My name ,10,,
A Business proposal,10,,
Nevertheless,9,,
The world of married,8,,
Descendants of the sun,8,,
Love next door,8.2,,
Because this is my first life,8,,
The worst of evil,10,,
Goblin,8.5,,
Squid game,10,,
All of us are dead ,9,,
Doona,8.5,,
Gangnam B side ,9,,
Itaewon class ,9.5,,
Strongest delivery man ,8,,
Juvenile justice,8.5,,
Love to hate you ,7.5,,
A time called you ,10,,
Somebody ,7.5,,
Start-up ,9.5,,
The bequeathed ,8.5,,
Pachinko ,10,,
A killer paradox ,10,,
Atypical family ,9.3,,
The 8 show ,9,,
The trunk ,9,,
Twenty five twenty one ,10,,
It's okay to not be okay,9,,
Weak hero class 1 ,10,,
Weak hero class 2,10,,
Squid games 2 ,10,,
Karma ,8.5,,
Beyond the bar ,8,,
