title,normalized_title,platform,notes
A Bloody Lucky Day,a bloody lucky day,,Manual platform lookup needed
A Breeze of Love,a breeze of love,,Manual platform lookup needed
A Good Day to Be a Dog,a good day to be a dog,,Manual platform lookup needed
A Killer Paradox,a killer paradox,,Manual platform lookup needed
A Nation of Broth,a nation of broth,,Manual platform lookup needed
A Shop for Killers,a shop for killers,,Manual platform lookup needed
A Time Called You,a time called you,,Manual platform lookup needed
A Virtuous Business,a virtuous business,,Manual platform lookup needed
A Wonderful Sight,a wonderful sight,,Manual platform lookup needed
Agents of Mystery,agents of mystery,,Manual platform lookup needed
Alien Stage,alien stage,,Manual platform lookup needed
A-List to Playlist,alist to playlist,,Manual platform lookup needed
Amor Fati,amor fati,,Manual platform lookup needed
Apple of My Eye,apple of my eye,,Manual platform lookup needed
Armored Saurus,armored saurus,,Manual platform lookup needed
Bad Memory Eraser,bad memory eraser,,Manual platform lookup needed
Baradeon Bada,baradeon bada,,Manual platform lookup needed
Beauty and Mr. Romantic,beauty and mr romantic,,Manual platform lookup needed
Bebefinn,bebefinn,,Manual platform lookup needed
Bee & Puppycat: Lazy in Space,bee puppycat lazy in space,,Manual platform lookup needed
Begins Youth,begins youth,,Manual platform lookup needed
Behind Your Touch,behind your touch,,Manual platform lookup needed
Between Him and Her,between him and her,,Manual platform lookup needed
Bittersweet Hell,bittersweet hell,,Manual platform lookup needed
Blood Free,blood free,,Manual platform lookup needed
Bloodhounds,bloodhounds,,Manual platform lookup needed
Bokjeingan,bokjeingan,,Manual platform lookup needed
Branding in Seongsu,branding in seongsu,,Manual platform lookup needed
Brewing Love,brewing love,,Manual platform lookup needed
Bulgasal,bulgasal,,Manual platform lookup needed
Bump Up Business,bump up business,,Manual platform lookup needed
Business as Usual,business as usual,,Manual platform lookup needed
Business Proposal,business proposal,,Manual platform lookup needed
Cafe Minamdang,cafe minamdang,,Manual platform lookup needed
Captivating the King,captivating the king,,Manual platform lookup needed
Castaway Diva,castaway diva,,Manual platform lookup needed
Celebrity,celebrity,,Manual platform lookup needed
